"usage_month","subscription_id","account_id","plan_tier","channel","billing_frequency","is_trial","mrr_amount","customer_status","usage_events","total_usage_count","total_usage_duration_secs","avg_usage_duration_secs","total_error_count","unique_features_used","used_beta_feature","churn_flag","engagement_score","engagement_tier","engagement_segment"
2023-03-01,S-c98905,A-de24d5,Pro,other,monthly,false,245,Active,1,0,0,0.00000000000000000000,2,1,1,false,10.00,1,Low Engagement
2023-08-01,S-9925b9,A-cea1f0,Basic,event,annual,false,475,Active,1,0,0,0.00000000000000000000,0,1,0,false,10.00,1,Low Engagement
2024-04-01,S-104053,A-2bc93d,Pro,event,monthly,false,1715,Active,1,1,9,9.0000000000000000,0,1,0,false,10.51,1,Low Engagement
2023-02-01,S-2d3434,A-425e76,Pro,other,annual,false,392,Active,1,1,93,93.0000000000000000,0,1,0,false,10.59,1,Low Engagement
2024-12-01,S-506cbd,A-9c18c4,Enterprise,ads,annual,false,3781,Churned,1,1,138,138.0000000000000000,0,1,0,true,10.64,1,Low Engagement
2024-10-01,S-a4139f,A-c45b23,Pro,partner,monthly,false,245,Active,1,1,249,249.0000000000000000,0,1,0,false,10.75,1,Low Engagement
2024-08-01,S-80016a,A-1b9609,Enterprise,ads,monthly,false,995,Active,1,1,319,319.0000000000000000,1,1,0,false,10.82,1,Low Engagement
2023-11-01,S-3f18be,A-e2cd1b,Enterprise,other,annual,false,3184,Active,1,1,344,344.0000000000000000,0,1,0,false,10.84,1,Low Engagement
2024-01-01,S-180ae3,A-cab532,Pro,organic,annual,false,539,Active,1,1,376,376.0000000000000000,0,1,0,false,10.88,1,Low Engagement
2024-01-01,S-c43a91,A-0e966d,Pro,ads,annual,false,637,Active,1,1,464,464.0000000000000000,2,1,0,false,10.96,1,Low Engagement
2024-01-01,S-b45bc6,A-425e76,Enterprise,other,monthly,false,6368,Churned,1,1,521,521.0000000000000000,1,1,0,true,11.02,1,Low Engagement
2024-06-01,S-e052d8,A-4e44e8,Pro,ads,annual,true,0,Active,1,1,558,558.0000000000000000,2,1,1,false,11.06,1,Low Engagement
2023-02-01,S-720d62,A-c16101,Basic,other,monthly,false,1007,Active,1,1,569,569.0000000000000000,0,1,0,false,11.07,1,Low Engagement
2023-06-01,S-6ca46a,A-0cc442,Enterprise,organic,annual,false,10547,Active,1,1,572,572.0000000000000000,0,1,0,false,11.07,1,Low Engagement
2023-09-01,S-3f18be,A-e2cd1b,Enterprise,other,annual,false,3184,Active,1,2,88,88.0000000000000000,1,1,0,false,11.09,1,Low Engagement
2023-02-01,S-f7b517,A-427b69,Pro,other,monthly,true,0,Active,1,2,94,94.0000000000000000,0,1,1,false,11.09,1,Low Engagement
2024-05-01,S-0fdcfe,A-4c38bc,Enterprise,event,annual,false,7164,Active,1,2,114,114.0000000000000000,0,1,0,false,11.11,1,Low Engagement
2024-09-01,S-d747bc,A-068fc6,Basic,event,monthly,false,665,Active,1,2,154,154.0000000000000000,0,1,0,false,11.15,1,Low Engagement
